Brand,Model_year,Transmission,Engine_size(cc),Drivetrain,Fuel_type,Lot_no,Kilometer,Price
Hyundaii10,9,0,1200,0,0,2,33000,1665000
Hyundaiaccent,13,0,1400,0,0,6,40000,1425000
Hyundaisantro,14,0,1000,0,0,6,40000,900000
Hyundaisantro,14,0,1100,0,0,6,40000,1150000
Hyundaiasta,12,1,1400,0,0,7,40000,1850000
Hyundaii10,12,0,1200,0,0,7,43000,1850000
Hyundaii10,11,0,1200,0,0,9,26000,1600000
Hyundaii10,11,0,1200,0,0,9,31000,1525000
Hyundaiasta,7,0,1200,0,0,11,16000,2450000
Hyundaisantro,21,0,1000,0,0,3,60000,550000
Hyundaii10,10,0,1100,0,0,9,23000,1550000
Hyundaiasta,7,0,1200,0,0,11,14000,2375000
Hyundaii20,11,0,1200,0,0,8,37000,1725000
Hyundaii20,12,0,1200,0,0,7,26000,1500000
Hyundaii10,10,0,1100,0,0,9,30000,1575000
Hyundaiasta,11,0,1200,0,0,8,30000,1775000
Hyundaii10,7,0,1200,0,0,12,14000,1875000
Hyundaisantro,14,0,1100,0,0,6,40000,1150000
Hyundaii10,7,0,1200,0,0,12,15000,2200000
Hyundaisantro,15,0,1100,0,0,5,60000,1200000
Hyundaii20,11,0,1200,0,0,8,32000,1500000
Hyundaii10,11,0,1200,0,0,7,30000,1575000
Hyundaii10,11,0,1200,0,0,8,30000,1575000
Hyundaiasta,7,0,1200,0,0,12,25000,2400000
Hyundaisantro,18,0,1100,0,0,4,50000,725000
Hyundaiaccent,17,0,1300,0,0,5,53000,850000
Hyundaii10,8,0,1200,0,0,10,43000,1860000
Hyundaii10,12,0,1100,0,0,7,50000,1300000
Hyundaii10,11,0,1200,0,0,9,37000,1575000
Hyundaisantro,13,0,1100,0,0,7,50000,1225000
Hyundaii10,12,0,1100,0,0,7,50000,1325000
Hyundaii10,10,0,1200,0,0,9,29000,1650000
Hyundaisantro,14,0,1000,0,0,7,52000,900000
Hyundaii10,8,0,1100,0,0,10,25000,1600000
Hyundaii10,11,0,1200,0,0,9,30000,1575000
Hyundaieon,9,0,800,0,0,10,64400,1350000
Hyundaielantra,7,0,1600,0,0,12,13000,3100000
Hyundaii10,13,0,1200,0,0,6,40000,1325000
Hyundaisantro,15,0,1100,0,0,6,50000,1075000
Hyundaii10,12,0,1200,0,0,7,35000,1445000
Hyundaisantro,11,0,1100,0,0,8,32000,1325000
Hyundaii10,12,0,1200,0,0,7,38000,1400000
Hyundaiasta,11,0,1200,0,0,8,30000,1800000
Hyundaisantro,11,0,1100,0,0,8,37000,1310000
Hyundaisantro,14,0,1100,0,0,6,53000,1175000
Hyundaiaccent,12,0,1400,0,0,7,34000,1650000
Hyundaii10,9,0,1100,0,0,10,35000,1600000
Hyundaiaccent,13,0,1400,0,0,6,35000,1425000
Hyundaii10,12,0,1100,0,0,7,40000,1275000
Hyundaii10,12,0,1200,0,0,7,37000,1400000
Hyundaisantro,10,0,1100,0,0,9,22500,1345000
Hyundaiaccent,13,0,1400,0,0,6,42000,1550000
Hyundaisantro,15,0,1100,0,0,5,55000,1050000
Hyundaitucson,10,1,2000,1,1,9,53000,5800000
Hyundaii20,5,0,1200,0,0,15,400,3350000
Hyundaisantro,14,0,1100,0,0,6,45000,1150000
Hyundaisantro,10,0,1100,0,0,9,35000,2011
Hyundaigetz,14,0,1400,0,0,5,63000,1000000
Hyundaiasta,11,0,1200,0,0,9,4500,2000000
Hyundaii10,11,0,1200,0,0,8,42000,1525000
Hyundaisantro,15,0,1000,0,0,2,40000,1025000
Hyundaii10,7,0,1200,0,0,12,5500,2125000
Hyundaisantro,8,0,1100,0,0,10,25000,1600000
Hyundaisantro,8,0,1100,0,0,10,25000,1600000
